category,corruption,severity,method,ape_rmse,rpe_rmse,coverage_pct,status
clean,-,,dpvo,122.13639475153704,0.5257171744867698,100.0,OK
clean,-,,dpvo,11.316254445159023,0.0892798505632422,100.0,OK
clean,-,,dpvo,132.5974623915205,0.5447456607736667,100.0,OK
clean,-,,dpvo,2.877416828212754,0.0503784944510075,100.0,OK
clean,-,,dpvo,1.3867766739562657,0.0393968832886976,100.0,OK
clean,-,,dpvo,66.5869546550874,0.3736685701373508,100.0,OK
clean,-,,dpvo,64.85216451520036,0.4312585548241394,100.0,OK
clean,-,,dpvo,21.158553746937564,0.1761794001836469,100.0,OK
clean,-,,dpvo,129.38493017573035,0.6039956412774234,100.0,OK
clean,-,,dpvo,85.83356210931501,0.3468952460884854,100.0,OK
clean,-,,dpvo,18.89011271507786,0.1581638233100327,100.0,OK
clean,-,,droid,116.13005146261078,0.4682099366883506,100.0,OK
clean,-,,droid,92.19047360060574,1.109924881139248,100.0,OK
clean,-,,droid,134.76741563625086,0.5535699203344414,100.0,OK
clean,-,,droid,3.2819550315612864,0.0520364362684361,100.0,OK
clean,-,,droid,2.000684899740356,0.0598958712694526,100.0,OK
clean,-,,droid,81.9588163776438,0.4348103519141094,100.0,OK
clean,-,,droid,60.83366802576186,0.3962745430427281,100.0,OK
clean,-,,droid,29.915499807073594,0.2396441460009446,100.0,OK
clean,-,,droid,94.95939822119774,0.5180727808967257,100.0,OK
clean,-,,droid,99.53877673466076,0.8702927271554038,100.0,OK
clean,-,,droid,25.480536362439423,0.2129082580323305,100.0,OK
clean,-,,orb,8.174569075252798,0.2100781568470857,45.87095353446378,OK
clean,-,,orb,518.0429127031224,9.244491194159911,43.77838328792008,OK
clean,-,,orb,29.084028388380226,0.2109729447897349,58.635485947221625,OK
clean,-,,orb,1.063770353919142,0.0418267059966876,50.936329588014985,OK
clean,-,,orb,1.1048510604359252,0.0609730299173964,56.82656826568265,OK
clean,-,,orb,5.4897939551577535,0.289747939319662,45.092357841361824,OK
clean,-,,orb,19.296207023819974,1.285087164248207,50.40871934604905,OK
clean,-,,orb,4.599820668533438,0.2131831456357444,49.137148047229786,OK
clean,-,,orb,47.162408325687394,0.4978268238719744,57.70081061164333,OK
clean,-,,orb,35.642691352714124,5.844873286104712,55.688246385920806,OK
clean,-,,orb,8.087669737377071,0.1212464091946019,57.11906744379684,OK
2d,brightness,1.0,dpvo,94.3336723016888,9.355073810591866,20.105703589517727,OK
2d,brightness,1.0,droid,96.07963148846532,9.090787655484446,20.105703589517727,OK
2d,brightness,1.0,orb,5.804077310206061,0.8875293959761716,8.830654040960141,OK
2d,brightness,2.0,dpvo,93.87492898159594,9.276277365608388,20.105703589517727,OK
2d,brightness,2.0,droid,95.43255329866663,9.001830328032712,20.105703589517727,OK
2d,brightness,2.0,orb,3.87390724844849,0.8931712511508157,9.02884827130588,OK
2d,brightness,3.0,dpvo,93.51042099418028,9.268484669654288,20.105703589517727,OK
