method_name,dataset_name,sequence_name,exp_it,STATUS,SUCCESS,TIME,RAM,SWAP,GPU,COMMENTS,EVALUATION
droidslam,kitti_corrupted,00_pixelate_s1,0,completed,True,1810.157256126404,16.784053802490234,0.0,54.66864013671875,nan,none
droidslam,kitti_corrupted,00_pixelate_s2,0,completed,True,1550.1093854904177,5.326068878173828,0.0,54.68817138671875,nan,none
droidslam,kitti_corrupted,00_pixelate_s3,0,completed,True,1530.1451823711395,4.990684509277344,0.0,54.75457763671875,nan,none
droidslam,kitti_corrupted,00_pixelate_s4,0,completed,True,1530.2821629047394,4.691326141357422,0.01806640625,54.78192138671875,nan,none
droidslam,kitti_corrupted,00_pixelate_s5,0,completed,True,1490.1703703403473,4.258644104003906,0.0,54.81707763671875,nan,none
droidslam,kitti_corrupted,00_shot_noise_s1,0,completed,True,1710.1994132995603,3.925945281982422,0.0,54.97332763671875,nan,none
droidslam,kitti_corrupted,00_shot_noise_s2,0,completed,True,1700.1313154697418,4.513378143310547,0.0,55.04364013671875,nan,none
droidslam,kitti_corrupted,00_shot_noise_s3,0,completed,True,1760.2583737373352,4.676662445068359,0.0,55.13543701171875,nan,none
droidslam,kitti_corrupted,00_shot_noise_s4,0,completed,True,1790.218875169754,8.120098114013672,0.0,55.14715576171875,nan,none
droidslam,kitti_corrupted,00_shot_noise_s5,0,completed,True,1840.1555247306824,4.883632659912109,0.000244140625,55.18621826171875,nan,none
droidslam,kitti_corrupted,00_snow_s1,0,completed,True,1790.55251288414,4.000286102294922,0.0,54.62957763671875,nan,none
droidslam,kitti_corrupted,00_snow_s2,0,completed,True,1720.2076444625854,4.392971038818359,0.0,54.25457763671875,nan,none
droidslam,kitti_corrupted,00_snow_s3,0,completed,True,1760.1459357738495,5.333885192871094,0.0,53.97137451171875,nan,none
droidslam,kitti_corrupted,00_snow_s4,0,completed,True,1650.2639746665957,4.272377014160156,0.0,53.19012451171875,nan,none
droidslam,kitti_corrupted,00_snow_s5,0,completed,True,1760.3328847885132,4.62103271484375,0.0,54.24481201171875,nan,none
droidslam,kitti_corrupted,00_zoom_blur_s1,0,completed,True,1690.1413111686709,6.667900085449219,0.0,54.52020263671875,nan,none
droidslam,kitti_corrupted,00_zoom_blur_s2,0,completed,True,1670.4553129673004,5.0517425537109375,0.0,54.33074951171875,nan,none
droidslam,kitti_corrupted,00_zoom_blur_s3,0,completed,True,1670.3060410022736,4.494304656982422,0.0,54.28973388671875,nan,none
droidslam,kitti_corrupted,00_zoom_blur_s4,0,completed,True,1650.1456775665283,4.659160614013672,0.0,54.21356201171875,nan,none
droidslam,kitti_corrupted,00_zoom_blur_s5,0,completed,True,1610.2414872646332,3.9766387939453125,0.0,54.12762451171875,,none
