group,method,sequence,corruption,kitti_seq,severity,status,ape_rmse,rpe_rmse,gt_total,n_synced,coverage_pct,gt_file,est_file
fourseasons,droid,neighborhood_2_train,real,neighborhood_2_train,,OK,100.48787548043028,0.423861746457978,2874,2874,100.0,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/4SEASONS/neighborhood_2_train/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/fourseasons/droid/raw/neighborhood_2_train/00000_KeyFrameTrajectory.txt
fourseasons,droid,neighborhood_3_train,real,neighborhood_3_train,,OK,104.56172928948345,0.42050500548303693,2847,2847,100.0,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/4SEASONS/neighborhood_3_train/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/fourseasons/droid/raw/neighborhood_3_train/00000_KeyFrameTrajectory.txt
fourseasons,droid,neighborhood_4_train,real,neighborhood_4_train,,OK,114.88734333769698,0.5691493717022023,2525,2525,100.0,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/4SEASONS/neighborhood_4_train/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/fourseasons/droid/raw/neighborhood_4_train/00000_KeyFrameTrajectory.txt
fourseasons,droid,neighborhood_6_train,real,neighborhood_6_train,,OK,107.15871273890136,0.4864164194813767,2983,2983,100.0,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/4SEASONS/neighborhood_6_train/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/fourseasons/droid/raw/neighborhood_6_train/00000_KeyFrameTrajectory.txt
