group,method,sequence,corruption,kitti_seq,severity,status,ape_rmse,rpe_rmse,gt_total,n_synced,coverage_pct,gt_file,est_file
fourseasons,dpvo,neighborhood_2_train,real,neighborhood_2_train,,OK,103.42042259655392,0.4713214812428539,2874,2874,100.0,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/4SEASONS/neighborhood_2_train/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/fourseasons/dpvo/raw/neighborhood_2_train/00000_KeyFrameTrajectory.txt
fourseasons,dpvo,neighborhood_3_train,real,neighborhood_3_train,,OK,120.95764223254939,0.6135124839902474,2847,2847,100.0,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/4SEASONS/neighborhood_3_train/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/fourseasons/dpvo/raw/neighborhood_3_train/00000_KeyFrameTrajectory.txt
fourseasons,dpvo,neighborhood_4_train,real,neighborhood_4_train,,OK,120.03422440553528,0.6278238268262274,2525,2525,100.0,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/4SEASONS/neighborhood_4_train/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/fourseasons/dpvo/raw/neighborhood_4_train/00000_KeyFrameTrajectory.txt
fourseasons,dpvo,neighborhood_6_train,real,neighborhood_6_train,,OK,96.30457610600668,0.47393685187594287,2983,2983,100.0,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/4SEASONS/neighborhood_6_train/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/fourseasons/dpvo/raw/neighborhood_6_train/00000_KeyFrameTrajectory.txt
