method_name,dataset_name,sequence_name,exp_it,STATUS,SUCCESS,TIME,RAM,SWAP,GPU,COMMENTS,EVALUATION,num_frames,num_tracked_frames,num_evaluated_frames
dpvo,kitti_3d_corrupted,far_focus_00_1,0,completed,True,380.0633363723755,11.98073959350586,0.0,4.24835205078125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,far_focus_00_2,0,completed,True,180.03788423538208,6.391693115234375,0.0,4.37921142578125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,far_focus_00_3,0,completed,True,190.03534650802607,9.702159881591797,0.0,4.47686767578125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,far_focus_00_4,0,completed,True,190.0365858078003,7.80352783203125,0.0,4.25030517578125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,far_focus_00_5,0,completed,True,200.0389244556427,7.916110992431641,0.0,4.36749267578125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,near_focus_00_1,0,completed,True,160.0323827266693,13.84384536743164,0.0,4.24249267578125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,near_focus_00_2,0,completed,True,160.0336058139801,6.629951477050781,0.0,4.13311767578125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,near_focus_00_3,0,completed,True,160.03398776054382,10.1427001953125,0.0,4.13116455078125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,near_focus_00_4,0,completed,True,160.03099417686462,11.277191162109377,0.0,4.13311767578125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,near_focus_00_5,0,completed,True,160.03348565101624,11.676109313964844,0.0,4.13507080078125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,low_light_00_1,0,completed,True,200.0341365337372,16.299789428710938,0.0,4.25225830078125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,low_light_00_2,0,completed,True,240.0360243320465,11.923454284667969,0.0,4.13311767578125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,low_light_00_3,0,completed,True,240.03656649589536,10.165542602539062,0.0,4.25421142578125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,low_light_00_4,0,completed,True,210.036137342453,13.347003936767578,0.0,4.13311767578125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,low_light_00_5,0,completed,True,220.03655171394348,9.960693359375,0.0,4.13702392578125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,iso_noise_00_1,0,completed,True,250.03956270217896,7.3993682861328125,0.0,4.35772705078125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,iso_noise_00_2,0,completed,True,260.04195618629456,0.0,0.0,4.24053955078125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,iso_noise_00_3,0,completed,True,260.04019260406494,1.9434700012207031,0.0,4.14874267578125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,iso_noise_00_4,0,completed,True,230.03414463996887,2.42471694946289,0.0,4.13311767578125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,iso_noise_00_5,0,completed,True,240.0381076335907,2.039154052734375,0.0,4.24835205078125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,flash_00_1,0,completed,True,180.03518772125244,1.9951210021972656,0.0,4.24053955078125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,flash_00_2,0,completed,True,180.0539517402649,1.9129714965820312,0.0,4.36553955078125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,flash_00_3,0,completed,True,180.04440641403198,2.3516197204589844,0.0,4.36553955078125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,flash_00_4,0,completed,True,170.03283548355105,1.943805694580078,0.0,4.47491455078125,,ate,4541.0,4541.0,4541.0
dpvo,kitti_3d_corrupted,flash_00_5,0,completed,True,170.03405618667605,1.9873085021972656,0.0,4.37530517578125,,ate,4541.0,4541.0,4541.0
